id	document	label
9976970	가성비 최고에 맛까지 좋은 노포 식당입니다..	1
9819312	보통의 닭곰탕집들처럼 노계나 폐닭을 사용하지 않고 일반 육계를 사용해서 잡내없고 육질이 참 부드럽습니다..	1
1026541	멸치육수베이스의 칼국수도 딱 멸치육수의 교과서같은 맛입니다..	1
1563574	익숙한 맛이고 대중적으로 호불호가 갈리지 않을맛..그러면서도 자꾸 생각나게 만드는 맛있는 육수맛입니다..면발도 노포스타일이라 명동교자처럼 아주 부드럽고 매끄러운 스타일입니다..겉절이김치도 보기와 달리 맵거나 짜지않고 살짝 달달하고 맛있습니다..가성비와 맛에 더해 옛추억까지 소환되는 노포 찐맛집..무조건 강추죠..이런 식당은	1
1547788	가성비가 좋아요음식이 맛있어요친절해요	1
4222427	웨이팅도 너무 길고 음식도 그닥..	0
4114144	낮에 혼자 가서 백반 하나 먹었어요. 가성비최고. 혼자손님들 저 말고도 꽤 오더라고요. 엄청 소주 시키고 싶었는데 다음 일정이 있어서 참았… 그리고 파 담긴 접시 주시면서 소스 담아드세요라고 하셨는데 저는 그 접시가 소스접시인 줄 알고;; 냄비안에 넣어버림. 속으로 소스를 넣었는데 왜 그냥 파만 넣은 느낌이 나지? 그러다가 다 먹을 때쯤 옆에 빨간통이 소스라는 사실을 깨달음. 그 소스를 파 담긴 접시에 넣고 섞어먹으라는 말씀이셨음.ㅎㅎㅎㅎㅎㅎ 국물이 뜨끈하면 더 좋겠다 싶었지만 바쁘다바뻐 현대사회에서 후다닥 먹고가기 좋은 메뉴였음.	1
4272727	가성비가 좋아요혼밥하기 좋아요	1
7777777	진심 맛있어요. 기대없이 갔는데 닭도 야들야들하고 간도 딱이에요.진심 김치도 달달매콤하니 간아주 제 대로입니다. 국물에 밥 말고 닭가슴살 찢어서	1
5272727	친절해요	1
7252244	친구랑 두명이서 갔는데 백숙백반 2인(인당 8,000원) , 칼국수 1인분(6,000원) 시켜서 먹으니 맛있고 배불 리 잘 먹었습니다 !!	1
3273737	음식이 맛있어요	1
1745278	백숙백반이 8,000원인데 이렇게 많은 양이 나왔어요! ! 친구 둘이 갔는데 백숙백반 시켰더니 닭 한마리 주 시고~ 닭이 정말 정말 부드러워요!!!!! 그리고	1 
4272789	음식이 맛있어요	1
1780879	정말 맛있어요. 국물이 끝내주고 김치 최고! 가격을 생각하면 정말 엄청난 집. 더욱 더 번창하세요~	1
4242777	맛있었어욥!! 친절하시고 음식도 빨리나옵니다.! 사 람 엄청 많아요!! 위생은 조금만 더 신경써주시면 좋 을 것 같아용!	1
2795793	음식이 진짜 맛있어요	1
4212789	다시는 안갈듯	0
3478977	여기서 먹을바에 그냥 집에서 만들어서 먹음	0
4178699	미친 존맛탱구리예여 ,,,,, 닭고기 야들야들하고 이미 고기 자체에 간이 돼서 양념장이 필요 없습니다 !	1
5434879	혼밥하기 좋아요	1
1786739	점심시간 조금 지나서가서 그런지 금방 들어갈 수 있 었어요! 국물도 맛있고 양도 푸짐합니다 ㅎㅎ 칼국수 가 소진된게 너무 아쉬워요ㅠㅠ 다음에 더 일...	1
1748279	가성비가 좋아요	1
2412879	말이 필요할까요? 할머니집에서 든든한 한끼 먹고 가는 것 같네요. 집 앞에 있으면 매일 갈듯요..	1
7286973	양이 많아요	1
2124879	유명한 곳이라 해서 갔는데 생각보다 맛있지도 않고 별로네요	0
4523728	진짜 별로에요 가게도 낡았고 왜 사람들 리뷰가 이런지 모르겠네요 안갈거같아요	0
4384757	 괜찮은 제주국수 스타일의 음식. 면은 넓은 면이고 셋트시에 같이 나오는 닭튀김과 검은 만두도 괜찮음.	1
1357534	오랫만에 방문했어요 ~ 맛이 조금 변하긴 했지만 .. 추운날 먹기 좋은 따숩고 진한 육수였습니다	1
1675344	여름 한정 메뉴인지 반반비빔면이라는 거 먹었는데, 고기는 질기고 면도 질기고.. 별로였어요.	0
1327656	국수 두 종류 시켰는데 면이 아니라 떡인줄 알았네요. 비빔국수는 잘 비벼지지도 않고, 국물 있는 국수도 얇고 넓은 면의 식감을 전혀 살리지 못함..가게 분위기나 친절함은 괜찮았지만 국수는...	0
6467886	몇달전 방문했을때 친절한 스탭분(모두남자분들)과  너무 맛있는 음식에 기대하며 재방문을 했는데 정말 불친절한 스탭의 태도와 어이없는 서비스로 다시는 방문하고싶지 않네요.	0
3125734	옛날에 그 명성이 아님, 맛도 특별한것도 아니고 가격도 비쌈	0
2572421	추억때문에 갔는데 다신 안가고 싶은곳. 절대 비추+	0
2457411	곱창전골. 맛있었어요. 직원분들 친절~ 김치 깔끔&맛있음. 다른 반찬들 정갈	1
4352478	양념게장이 너무 맛있어서 종종 생각나서 가서 먹어요 약간 간이 쎈 느낌이긴 하지만 생각나는 맛이에요	1
3543741	호불호가 있을수 있지만 그래도 맛있게 먹었습니다.	1
2137324	정말... 퇴근한다고 먹는데... 나가주면 안되냐고... 10시까지인데 9시15분에 말하는 종업원들과 이를 무시하는 주인장... 음식보다 인성이 필요한 집.	0
1324387	60년 역사가 얘기해주듯이 오랜 정상과 묵은 맛이 과거와 현재가 현존하는 참 맛집이다.	1
