기간,자치구,법정동,토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별),토지현황(지목별)
기간,자치구,법정동,합계,전,답,과수원,목장용지,임야,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
2021,합계,합계,"605,243,961.2","9,571,764.2","8,613,908.5","277,255.4",388,"137,876,641.4","222,144,293.9","2,818,849.5","24,815,067.7","1,214,026.7","555,416.1","92,407.8","80,256,644.0","7,111,169.1","3,842,438.3","52,098,115.1","3,298,991.7","1,492,995.7","1,579,046.2","23,206,088.2","1,481,948.5","219,119.4","2,360,177.5","1,590,583.2","2,329,188.2","16,397,436.9"
2021,종로구,소계,"23,912,935.7","800,294.5",-,-,-,"9,359,338.5","8,181,175.0",-,"918,486.7","22,566.6","5,974.6",-,"2,386,731.1",932.9,"10,946.9","275,725.2","164,401.5",-,85.2,"319,676.0",-,-,"106,967.4","1,244,517.4","11,001.0","104,115.2"
2021,종로구,청운동,"797,032.5",-,-,-,-,"441,206.1","176,829.7",-,"99,338.1",-,-,-,"50,790.1",-,-,"2,529.3","3,705.4",-,-,"22,633.8",-,-,-,-,-,-
2021,종로구,신교동,"99,144.0",-,-,-,-,"6,344.3","37,969.5",-,"37,241.8","1,971.4",-,-,"10,024.7",-,-,831.1,441.3,-,-,"3,888.6",-,-,342.8,88.5,-,-
2021,종로구,궁정동,"73,042.7",-,-,-,-,-,"36,054.0",-,-,-,-,-,"14,836.6",-,-,-,333.8,-,-,-,-,-,-,"21,818.3",-,-
2021,종로구,효자동,"59,135.9",-,-,-,-,-,"44,176.8",-,-,787.4,-,-,"12,877.4",-,-,429.8,864.5,-,-,-,-,-,-,-,-,-
2021,종로구,창성동,"59,706.1",-,-,-,-,-,"43,532.5",-,-,-,-,-,"14,495.8",-,-,-,"1,033.2",-,-,-,-,-,644.6,-,-,-
2021,종로구,통의동,"62,960.3",-,-,-,-,-,"44,624.8",-,-,-,-,-,"17,045.9",-,-,"1,107.5",182.1,-,-,-,-,-,-,-,-,-
2021,종로구,적선동,"43,131.9",-,-,-,-,-,"22,424.1",-,-,"2,969.4",-,-,"16,072.2",148.8,-,638,879.4,-,-,-,-,-,-,-,-,-
2021,종로구,통인동,"50,330.9",-,-,-,-,-,"38,948.0",-,-,-,-,-,"9,990.8",-,-,727.3,664.8,-,-,-,-,-,-,-,-,-
2021,종로구,누상동,"261,803.6",-,-,-,-,"187,452.2","45,223.5",-,"16,232.6","1,216.5",-,-,"10,491.6",-,-,-,"1,187.2",-,-,-,-,-,-,-,-,-
2021,종로구,누하동,"56,702.3",-,-,-,-,-,"30,475.0",-,"14,185.7",-,-,-,"11,370.6",-,-,49.6,621.4,-,-,-,-,-,-,-,-,-
2021,종로구,옥인동,"414,842.7",-,-,-,-,"225,416.2","109,315.6",-,-,430,-,-,"30,635.6",-,-,826.5,"1,130.6",-,-,"47,088.2",-,-,-,-,-,-
2021,종로구,체부동,"45,188.5",-,-,-,-,-,"37,523.3",-,-,-,-,-,"4,144.9",-,-,644.6,"2,677.4",-,-,-,-,-,198.3,-,-,-
2021,종로구,필운동,"86,207.7",-,-,-,-,"9,809.0","38,068.6",-,"20,065.4",337.2,-,-,"15,189.2",-,-,-,187.1,-,-,-,-,-,"2,551.2",-,-,-
2021,종로구,내자동,"52,259.8",-,-,-,-,-,"35,314.4",-,-,-,-,-,"15,523.0",-,-,-,"1,422.4",-,-,-,-,-,-,-,-,-
2021,종로구,사직동,"284,141.8",-,-,-,-,"79,726.2","86,570.5",-,"4,032.6",521.3,617.5,-,"44,551.4",-,-,-,"1,543.8",-,-,"22,991.7",-,-,-,"43,586.8",-,-
2021,종로구,도렴동,"29,147.7",-,-,-,-,-,"19,348.9",-,-,-,-,-,"6,380.6",-,-,-,"1,246.9",-,-,441.8,-,-,"1,729.5",-,-,-
2021,종로구,당주동,"43,172.3",-,-,-,-,-,"27,634.7",-,-,42.5,-,-,"12,222.2",-,-,-,619.5,-,-,"2,413.0",-,-,240.4,-,-,-
2021,종로구,내수동,"70,392.5",-,-,-,-,-,"50,374.6",-,-,-,-,-,"13,478.3",-,-,-,"1,153.0",-,-,"5,386.6",-,-,-,-,-,-
2021,종로구,세종로,"888,697.3",-,-,-,-,-,"429,522.1",-,-,-,-,-,"129,839.4",-,-,"6,879.4",299,-,-,"6,446.1",-,-,-,"315,711.3",-,-
2021,종로구,신문로1가,"65,615.3",-,-,-,-,-,"32,854.2",-,-,555.7,-,-,"26,525.1",-,-,-,536.9,-,-,"1,097.0",-,-,"3,996.6",-,-,49.8
2021,종로구,신문로2가,"256,580.7",-,-,-,-,-,"219,776.6",-,-,-,-,-,"34,658.3",-,-,-,69.3,-,-,"1,752.5",-,-,-,324,-,-
