sentence,comment,score,ratio
0,['0'],0.0,0.0
"""선불이고 브레이크 타임은 2시 30분부터 5시까지이고 1인당 9900원에 9가지 메뉴가 나와요 그리고 이 모든 게 무한리필 이예요 아무튼 뷔폐식 이고 동네 중국집에서 배달 시켜 먹는 것보다 훨씬 났고 짜장면 하고 탕수육이 맛있고 흰밥은 달라고 하시면 주시고 토요일은 깐풍기가 자주 나오는 거 같고 진짜 맛도 괜찮고 가성비 최고예요 짱👍","['선불', '이고', '브레이크', '타임', '은', '2시', '30분', '부터', '5시', '까지이고', '1', '인당', '9900원', '에', '9', '가지', '메뉴', '가', '나와요', '그리고', '이', '모든', '게', '무한리필', '이예', '요', '아무튼', '뷔', '폐식', '이고', '동네', '중국집', '에서', '배달', '시켜', '먹는', '것', '보다', '훨씬', '났고', '짜장면', '하고', '탕수육', '이', '맛있고', '흰밥', '은', '달라', '고', '하시면', '주시', '고', '토요일', '은', '깐풍기', '가', '자주', '나오는', '거', '같고', '진짜', '맛', '도', '괜찮고', '가성', '비', '최고', '예요', '짱']",4.23176057021265,1.49
가성비는 있는데 맛은 제 입에 안 맞았어요 탕수육은 맛있음 👍,"['가성', '비는', '있는데', '맛', '은', '제', '입', '에', '안', '맞았어요', '탕수육', '은', '맛있음']",0.4245690671530835,0.2
음식 맛있어요사람들 정말 많아요다먹은후 그릇은셀프로 치워야해요^^짬뽕국물먹으러 또가고싶은곳입니다~짬뽕말고도 다 맛있어요^^,"['음식', '맛있어요', '사람', '들', '정말', '많아', '요', '다', '먹은', '후', '그릇', '은', '셀프', '로', '치워', '야해요', '짬뽕', '국물', '먹으러', '또', '가고싶은', '곳', '입니다', '짬뽕', '말고도', '다', '맛있어요']",2.925606655065837,1.2
정말 맛있게 잘먹었습니다.,"['정말', '맛있게', '잘', '먹었습니다']",4.267301735941404,2.66
중식뷔페가 정말 맛있는 음식점,"['중식', '뷔페', '가', '정말', '맛있는', '음식점']",3.854956785350591,2.17
"가끔씩 1점짜리 리뷰가 보이길래 이상하다 싶어서 오랜만에 방문했네요. 짬뽕 여전히 재료도 푸짐하고 맛있고 꽤 매콤했어요. 짜장 소스에 면과 볶음밥 모두 잘 어울렸고, 탕수육 아주 맛있었고, 깐풍기, 특밥도 너무 맛있었네요. 재료도 푸짐. 1만원 가격에 대만족입니다. 11시 25분 쯤 도착했는데, 혼자 오신 손님도 많고 가족이나 친구와 같이 오신 분도 많이 있었어요. 한 2~30분 정도? 맛이 없다면 손님이 없겠죠~ 사장님은 늘 친절하시고 음식은 깨끗하게 보관되고, 잘 채워집니다.맛도 좋고, 재료도 좋고, 정성이 깃든 것이 느껴지는 음식들안데 악성 댓글 달거나 별점 테러하는 사람들 보고 마음이 안 좋아서 달려와 봤습니다. 짜장","['가끔', '씩', '1', '점', '짜리', '리뷰', '가', '보이길래', '이상하다', '싶어서', '오랜', '만', '에', '방문', '했네요', '짬뽕', '여전히', '재료', '도', '푸', '짐', '하고', '맛있고', '꽤', '매콤', '했어요', '짜장', '소스', '에', '면', '과', '볶음밥', '모두', '잘', '어울렸고', '탕수육', '아주', '맛있었고', '깐풍기', '특밥', '도', '너무', '맛있었네요', '재료', '도', '푸', '짐', '1만원', '가격', '에', '대', '만족', '입니다', '11시', '25분', '쯤', '도착', '했는데', '혼자', '오신', '손님', '도', '많고', '가족', '이나', '친구', '와', '같이', '오신', '분도', '많이', '있었어요', '한', '230분', '정도', '맛', '이', '없다면', '손님', '이', '없겠죠', '사장', '님', '은', '늘', '친절하시고', '음식', '은', '깨끗하게', '보관', '되고', '잘', '채워', '집니다', '맛', '도', '좋고', '재료', '도', '좋고', '정성', '이', '깃', '든', '것', '이', '느껴지는', '음식', '들안데', '악성', '댓글', '달거나', '별', '점', '테러', '하는', '사람', '들', '보고', '마음', '이', '안', '좋아서', '달려와', '봤습니다', '짜장']",-6.863424603317727,-2.21
짬뽕,['짬뽕'],0.1305729633913617,0.13
볶음밥,['볶음밥'],0.1006909728657619,0.1
탕수육 + 두어가지 요리 더 즐기는 곳이고 가격대비 훌륭한 곳입니다.,"['탕수육', '두어', '가지', '요리', '더', '즐기는', '곳', '이고', '가격', '대비', '훌륭한', '곳', '입니다']",4.681768821449046,2.21
음식 다 맛있었어요 늦은 시간에 가서 양껏 못먹고 와서 아쉽지만~,"['음식', '다', '맛있었어요', '늦은', '시간', '에', '가서', '양', '껏', '못', '먹고', '와서', '아쉽지만']",0.9522586195031386,0.45
가까이 있었으면 자주 갔을듯,"['가까이', '있었으면', '자주', '갔을듯']",-0.8888651017335045,-0.55
집 근처 맛집을 찾은 것 같습니다~,"['집', '근처', '맛집', '을', '찾은', '것', '같습니다']",1.2910664718988694,0.7
"잘먹었습니다""","['잘', '먹었습니다']",1.75606998991561,1.35
1,['1'],0.0,0.0
"""⭐⭐⭐⭐⭐ 단골맛집입니다. 덜매운맛으로 주문해도 매워요!!!진짜 매운맛 마니아라면 매운맛 주문하시구용 매운거 못드시면 소불고기 드세용!! 오징어튀김도 말해뭐해!!입니다!!!강추!!!!!","['단골', '맛집', '입니다', '덜', '매운', '맛', '으로', '주문', '해도', '매워요', '진짜', '매운', '맛', '마니아', '라면', '매운', '맛', '주문', '하시구', '용', '매운거', '못', '드시면', '소', '불고기', '드세용', '오징어', '튀김', '도', '말', '해', '뭐해', '입니다', '강추']",-1.3576244041732384,-0.54
오호옹가성비 최갑소물갈비~홍어무침 ~오징어튀킴맛나서2차소진했숭둥,"['오호', '옹', '가', '성비', '최', '갑소', '물', '갈비', '홍어', '무침', '오징어', '튀', '킴맛', '나서', '2', '차소', '진했', '숭둥']",-0.8396571852985919,-0.37
배부르게 잘 먹음!,"['배부르게', '잘', '먹음']",1.802210448231024,1.22
양도 많고 너무너무 맛있어용,"['양도', '많고', '너무', '너무', '맛있어용']",1.4642512252840891,0.86
맛있으나 가격이 좀 비싸네요방송많이나오고 유명세타서 퀄리티대비 살짝 비싼감이있네요덜맵게 먹어도 쪼금 매운편이에요넓고 주차가능하고 편합니다,"['맛있으나', '가격', '이', '좀', '비싸네요', '방송', '많이', '나오고', '유명', '세타', '서', '퀄리티', '대비', '살짝', '비싼', '감이있네요', '덜맵', '게', '먹어도', '쪼금', '매운', '편이', '에요', '넓고', '주차', '가능하고', '편합니다']",-4.208700005801791,-1.73
처음 나왔을때 비쥬얼에 놀랐어요 ㅋㅋㅋ여자 둘이서 물갈비 2인분 주문했는데양이 정말 많아요..!샤브 해먹는 양념의 맛은 좀 달았는데음 갈비라서 달은가보당 했어요 ㅋㅋ위에 갈비 샤브해먹은것도 맛있었지만밑에 갈비가 진짜 야들하고 짱이었어요..!마지막 자작하게 남은 국물이 먼가 떡볶이국물st같이 돼서 볶음밥해먹으면진짜 맛있겠다 했는데 넘 배불러서아쉽게 볶음밥은 못먹었어요^_ㅜ,"['처음', '나왔을', '때', '비쥬', '얼', '에', '놀랐어요', '여자', '둘이서', '물', '갈비', '2', '인분', '주문', '했는데', '양', '이', '정말', '많아요', '샤브', '해먹', '는', '양념', '의', '맛', '은', '좀', '달았는데음', '갈비', '라서', '달', '은', '가보', '당', '했어요', '위', '에', '갈비', '샤브', '해', '먹은것도', '맛있었지만', '밑', '에', '갈비', '가', '진짜', '야', '들하고', '짱', '이었어요', '마지막', '자작하게', '남은', '국물', '이', '먼가', '떡볶이', '국물', 'st', '같이', '돼서', '볶음밥', '해', '먹으면', '진짜', '맛있겠다', '했는데', '넘', '배불러서', '아쉽게', '볶음밥', '은', '못', '먹었어요']",-11.041659049367382,-3.84
술안주로 좋아요,"['술안주', '로', '좋아요']",0.10326205440691538,0.07
갈비가 아래 깔려있어요. 리얼 존맛탱입니다~~ 또 올게요,"['갈비', '가', '아래', '깔려있어요', '리얼', '존맛', '탱', '입니다', '또', '올게요']",-0.27880874055795024,-0.14
하 맛없고 직원들 불러도 안오고 시끄럽고,"['하', '맛없고', '직원', '들', '불러도', '안', '오고', '시끄럽고']",-3.6038034722663896,-1.89
"양이 엄청많네요.2인 시켰는데 3명이 먹어야할듯요^^""","['양', '이', '엄청', '많네요', '2', '인', '시켰는데', '3', '명', '이', '먹어', '야할듯', '요']",0.5672154921880619,0.27
2,['2'],0.0,0.0
"""둘이서 음식 세개 주문 주문한 음식 다 맛있네요~ 직원분이 친절해서 좋았습니다~","['둘이서', '음식', '세', '개', '주문', '주문', '한', '음식', '다', '맛있네요', '직원', '분', '이', '친절해서', '좋았습니다']",0.9845404986259405,0.45
점심에 멕시칸 요리 플렉스 넘모 맛있는것~! 근데 또띠아 추가는 너무 가슴이 아프다.,"['점심', '에', '멕시칸', '요리', '플렉스', '넘', '모', '맛있는것', '근데', '또띠아', '추가', '는', '너무', '가슴', '이', '아프다']",-2.1600650194297906,-0.98
분위기도 좋고 음식도 맛있어요 금천의 맛집 인정따리•••,"['분위기', '도', '좋고', '음식', '도', '맛있어요', '금천', '의', '맛집', '인정', '따리']",6.7794110289455105,3.32
오랜만에 와도 여전히 맛있어요!,"['오랜', '만', '에', '와도', '여전히', '맛있어요']",0.850972634960911,0.48
퀘사디아 먹고싶어서 방문포장 했어요 !! 진짜 다른메뉴들 다 맛있는데 퀘사디아 진짜 짱맛❤️❤️,"['퀘사디아', '먹고싶어서', '방문', '포장', '했어요', '진짜', '다른', '메뉴', '들', '다', '맛있는데', '퀘사디아', '진짜', '짱', '맛']",-0.22532731878766432,-0.1
회사 사람들이 그렇게 맛있다고 해서 와봤어요. 굿굿! 매장에 계신 분도 너무 친절하셨어요. 집 근처에서 즐기는 멕시코 음식이라니 너무 좋아요.,"['회사', '사람', '들', '이', '그렇게', '맛있다고', '해서', '와', '봤어요', '굿굿', '매장', '에', '계신', '분도', '너무', '친절하셨어요', '집', '근처', '에서', '즐기는', '멕시코', '음식', '이라니', '너무', '좋아요']",3.375217290241757,1.41
뭔가... 동네 맛집같은 느낌! 시간 잘 맞춰서 가서 대기 너무 길게 안하고 잘 먹은거같아요~,"['뭔가', '동네', '맛집', '같은', '느낌', '시간', '잘', '맞춰서', '가서', '대기', '너무', '길게', '안', '하고', '잘', '먹은거', '같아요']",4.716822509086734,2.11
"타코, 퀘사디아 쫀맛이에요!!","['타코', '퀘사디아', '쫀맛', '이에요']",0.109891756838298,0.07
런치셋트 가성비 굿. 타코 맛 굿. 잘 먹고왔네요.,"['런치셋트', '가성', '비', '굿', '타코', '맛', '굿', '잘', '먹고', '왔네요']",1.7236173326954858,0.86
"보울도 맛있고 윙도 퀘사디아, 감튀 다 맛있고!! 연말 평일할 것 없이 언제나 추천~""","['보울도', '맛있고', '윙', '도', '퀘사디아', '감', '튀', '다', '맛있고', '연말', '평일', '할', '것', '없이', '언제나', '추천']",-0.44998035934141223,-0.2
3,['3'],0.0,0.0
"""혜화를 벗어나 한성대입구역 앞에 이런곳이!!막걸리에 LP라니,, 반칙이에요아무래도 막걸리파는 곳이라 뭔가 한국적인 노래가 나올때가 많아서 읭? 할때도 있었지만 ㅋㅋ 이곳만의 특색있는 분위기 대박이에용:) 술도 여러가지 종류가 있어서 입맛에따라 막걸리 골라서 마실수 있고, 안주도 다양합니다","['혜화', '를', '벗어나', '한', '성', '대입', '구역', '앞', '에', '이런', '곳', '이', '막걸리', '에', 'LP', '라니', '반칙', '이에요', '아무래도', '막걸리', '파는', '곳', '이라', '뭔가', '한국', '적', '인', '노래', '가', '나올', '때', '가', '많아서', '읭', '할', '때', '도', '있었지만', '이', '곳', '만의', '특색', '있는', '분위기', '대박', '이', '에', '용', '술', '도', '여러가지', '종류', '가', '있어서', '입맛', '에', '따라', '막걸리', '골', '라서', '마실수', '있고', '안주', '도', '다양합니다']",-5.235501275570929,-1.86
"따듯하고 향기로운 물수건을 내어주는물병 물잔 앞접시 술잔조차 일반적이지 않은 곳직접 빚은 탁주, 안주도 맛있고LP음악또한 정겨운 곳","['따', '듯', '하고', '향기로운', '물수건', '을', '내어주는', '물병', '물잔', '앞', '접시', '술잔', '조차', '일반', '적', '이지', '않은', '곳', '직접', '빚', '은', '탁주', '안주', '도', '맛있고', 'LP', '음악', '또한', '정겨운', '곳']",-9.066764375350068,-3.66
"작고 소중한 분위기, 맛스런 음식들😎","['작고', '소중한', '분위기', '맛', '스런', '음식', '들']",3.327025707747413,1.8
직접 담그신 술이 너무 맛있어요! 다른 술들 라인업도 좋고 음식도 괜찮아요. 주말엔 예약을 안받으시는 모양이니 자리가 있는지 확인하고 오시는 것이 좋을듯 합니다. 오픈하자마자 왔는데 1시간 안되어 자리가 다 찼어요 ㅎㅎ,"['직접', '담그신', '술', '이', '너무', '맛있어요', '다른', '술', '들', '라인업', '도', '좋고', '음식', '도', '괜찮아요', '주말', '엔', '예약', '을', '안', '받으시는', '모양', '이니', '자리', '가', '있는지', '확인', '하고', '오시', '는', '것', '이', '좋을듯', '합니다', '오픈', '하', '자마자', '왔는데', '1시간', '안되어', '자리', '가', '다', '찼어요']",2.342457797132667,0.89
진짜 막걸리도 너무 맛있고 친절하세요ㅠㅠ! 한성대입구에서 막걸리랑 탁주 먹는다고 하면 무조건 뒷동산갑니다.👍🏻,"['진짜', '막걸리', '도', '너무', '맛있고', '친절하세요', '한성대', '입구', '에서', '막걸리', '랑', '탁주', '먹는다고', '하면', '무조건', '뒷동산', '갑니다']",-1.6989077586571977,-0.76
동네 숨은 맛집막걸리 탁주 직접 빚는 집LP 음악 갬성 돋는 집조명도 매우 바람직한 집다만 테이블수가 적고 가격이 비교적 높은 편그래도 충분히 만족스러운 동네 핫플레이스,"['동네', '숨은', '맛집', '막걸리', '탁주', '직접', '빚', '는', '집', 'LP', '음악', '갬', '성', '돋는', '집', '조명도', '매우', '바람직한', '집다만', '테이블', '수가', '적고', '가격', '이', '비교', '적', '높은', '편', '그래도', '충분히', '만족스러운', '동네', '핫', '플', '레이스']",-1.4228276705341794,-0.56
6월6일자 방문진짜 안주 너무 맛있네요 진짜 깔끔한맛이에요가게분위기도 상차림도 진짜 정갈하네요음악도 술이 술술 들어가는 분위기 양조를 직접하신다더니 뒷동산 시그니처 탁주맛있어요 굿입니다,"['6월', '6일', '자', '방문', '진짜', '안주', '너무', '맛있네요', '진짜', '깔끔한', '맛', '이에요', '가게', '분위기', '도', '상차림', '도', '진짜', '정갈하네요', '음악', '도', '술', '이', '술술', '들어가는', '분위기', '양조', '를', '직접', '하신다더니', '뒷동산', '시', '그', '니', '처', '탁주', '맛있어요', '굿', '입니다']",5.396657098690883,2.08
분위기랑 음악도 다 좋은데 음식이 좀 늦게 나오는 편입니다 감안하고 가셔요.,"['분위기', '랑', '음악', '도', '다', '좋은데', '음식', '이', '좀', '늦게', '나오는', '편입', '니', '다', '감안', '하고', '가셔요']",-0.23035864162236042,-0.1
