document	label
가성비 최고에 맛까지 좋은 노포 식당입니다..	1
보통의 닭곰탕집들처럼 노계나 폐닭을 사용하지 않고 일반 육계를 사용해서 잡내없고 육질이 참 부드럽습니다..	1
멸치육수베이스의 칼국수도 딱 멸치육수의 교과서같은 맛입니다..	1
익숙한 맛이고 대중적으로 호불호가 갈리지 않을맛..그러면서도 자꾸 생각나게 만드는 맛있는 육수맛입니다..면발도 노포스타일이라 명동교자처럼 아주 부드럽고 매끄러운 스타일입니다..겉절이김치도 보기와 달리 맵거나 짜지않고 살짝 달달하고 맛있습니다..가성비와 맛에 더해 옛추억까지 소환되는 노포 찐맛집..무조건 강추죠..이런 식당은	1
가성비가 좋아요음식이 맛있어요친절해요	1
웨이팅도 너무 길고 음식도 그닥..	0
낮에 혼자 가서 백반 하나 먹었어요. 가성비최고. 혼자손님들 저 말고도 꽤 오더라고요. 엄청 소주 시키고 싶었는데 다음 일정이 있어서 참았… 그리고 파 담긴 접시 주시면서 소스 담아드세요라고 하셨는데 저는 그 접시가 소스접시인 줄 알고;; 냄비안에 넣어버림. 속으로 소스를 넣었는데 왜 그냥 파만 넣은 느낌이 나지? 그러다가 다 먹을 때쯤 옆에 빨간통이 소스라는 사실을 깨달음. 그 소스를 파 담긴 접시에 넣고 섞어먹으라는 말씀이셨음.ㅎㅎㅎㅎㅎㅎ 국물이 뜨끈하면 더 좋겠다 싶었지만 바쁘다바뻐 현대사회에서 후다닥 먹고가기 좋은 메뉴였음.	1
가성비가 좋아요혼밥하기 좋아요	1
진심 맛있어요. 기대없이 갔는데 닭도 야들야들하고 간도 딱이에요.진심 김치도 달달매콤하니 간아주 제 대로입니다. 국물에 밥 말고 닭가슴살 찢어서	1
친절해요	1
친구랑 두명이서 갔는데 백숙백반 2인(인당 8,000원) , 칼국수 1인분(6,000원) 시켜서 먹으니 맛있고 배불 리 잘 먹었습니다 !!	1
음식이 맛있어요	1
백숙백반이 8,000원인데 이렇게 많은 양이 나왔어요! ! 친구 둘이 갔는데 백숙백반 시켰더니 닭 한마리 주 시고~ 닭이 정말 정말 부드러워요!!!!! 그리고	1 
음식이 맛있어요	1
정말 맛있어요. 국물이 끝내주고 김치 최고! 가격을 생각하면 정말 엄청난 집. 더욱 더 번창하세요~	1
맛있었어욥!! 친절하시고 음식도 빨리나옵니다.! 사 람 엄청 많아요!! 위생은 조금만 더 신경써주시면 좋 을 것 같아용!	1
음식이 진짜 맛있어요	1
다시는 안갈듯	0
여기서 먹을바에 그냥 집에서 만들어서 먹음	0
미친 존맛탱구리예여 ,,,,, 닭고기 야들야들하고 이미 고기 자체에 간이 돼서 양념장이 필요 없습니다 !	1
혼밥하기 좋아요	1
점심시간 조금 지나서가서 그런지 금방 들어갈 수 있 었어요! 국물도 맛있고 양도 푸짐합니다 ㅎㅎ 칼국수 가 소진된게 너무 아쉬워요ㅠㅠ 다음에 더 일...	1
가성비가 좋아요	1
말이 필요할까요? 할머니집에서 든든한 한끼 먹고 가는 것 같네요. 집 앞에 있으면 매일 갈듯요..	1
양이 많아요	1
유명한 곳이라 해서 갔는데 생각보다 맛있지도 않고 별로네요	0
진짜 별로에요 가게도 낡았고 왜 사람들 리뷰가 이런지 모르겠네요 안갈거같아요	0
괜찮은 제주국수 스타일의 음식. 면은 넓은 면이고 셋트시에 같이 나오는 닭튀김과 검은 만두도 괜찮음.	1
오랫만에 방문했어요 ~ 맛이 조금 변하긴 했지만 .. 추운날 먹기 좋은 따숩고 진한 육수였습니다	1
여름 한정 메뉴인지 반반비빔면이라는 거 먹었는데, 고기는 질기고 면도 질기고.. 별로였어요.	0
국수 두 종류 시켰는데 면이 아니라 떡인줄 알았네요. 비빔국수는 잘 비벼지지도 않고, 국물 있는 국수도 얇고 넓은 면의 식감을 전혀 살리지 못함..가게 분위기나 친절함은 괜찮았지만 국수는...	0
몇달전 방문했을때 친절한 스탭분(모두남자분들)과  너무 맛있는 음식에 기대하며 재방문을 했는데 정말 불친절한 스탭의 태도와 어이없는 서비스로 다시는 방문하고싶지 않네요.	0
옛날에 그 명성이 아님, 맛도 특별한것도 아니고 가격도 비쌈	0
추억때문에 갔는데 다신 안가고 싶은곳. 절대 비추+	0
곱창전골. 맛있었어요. 직원분들 친절~ 김치 깔끔&맛있음. 다른 반찬들 정갈	1
양념게장이 너무 맛있어서 종종 생각나서 가서 먹어요 약간 간이 쎈 느낌이긴 하지만 생각나는 맛이에요	1
호불호가 있을수 있지만 그래도 맛있게 먹었습니다.	1
정말... 퇴근한다고 먹는데... 나가주면 안되냐고... 10시까지인데 9시15분에 말하는 종업원들과 이를 무시하는 주인장... 음식보다 인성이 필요한 집.	0
60년 역사가 얘기해주듯이 오랜 정상과 묵은 맛이 과거와 현재가 현존하는 참 맛집이다.	1
너무 쓰레기 같아요.. 다시는 안올거에요. 여기 갈바에는 안먹고 말죠	0
다신 가고싶은 마음이 안들 것 같아요.. 다른데 가서 먹고 싶네요 여기서는 돈주고 안먹을듯	0
완전 인생맛집이네요. 분위기도 좋고 강추에요	1
중세 유럽풍 궁전 같은 분위기가 너무 좋고 특별한 이색 메뉴가 있어서 좋았어요. 치즈 들어가는 메뉴도 많고 샐러 드도 신선했어요.	1
인테리어가 너무 멋져서 특별한 날 가기 좋은 곳이예요. 가성비도 좋고 음식도 맛있어서 재방문 하고 싶은 곳입니다.	1
인테리어가 예쁜 압구정 맛집❤️ 샐러드랑 파스타 메뉴 다 맛있었어요.	1
특히 유자 홀토마토샐러드는 비주얼부터 심쿵, 너-무 귀여워서 먹기 아까울 정도였는데 맛도 좋아서 완전 반해버렸네요☺️	1
독특한 인테리어 덕분에 유럽 여행 온 느낌 나서 좋았어요 파스타랑 리조또도 맛있게 먹었습니다~	1
메뉴 3개 주문했는데 로제파스타가 제일 맛있었어요. 인테리어도 예쁘고 분위기 좋아서 사진 찍기 좋아요.	1
음식 맛있고 알바분 친절하셨어요 인테리어는 고풍적인 느낌이라 특별했어요	1 
규모가 작고 테이블 배치가 좁다보니 사람들 대화소음은 어쩔수 없었네요	0
음식이 다 넘넘 맛있었오요!! 갈비크림파스타는 넘 맛있어서 또 하나 추가했구요~ 리조또, 라자냐,부르스게따,감바스,샐러드 다 굿굿~~~~	1
사장님도 넘 친절하셔서 다같이 기분 좋게 먹고 왔어요	1
유자 홀토마토 샐러드 추천이요 :) 비프크림리조또랑 로제파스타도 맛있었어요 ! 내부 인테리어가 예쁘고 직원분들도 친절하셔요.	1
와우 압구정 맛집 찾았어요. 분위기 너무 좋고 인테리어랑 액자들 진짜 제 스타일이에용.	1
어제는 친구들이랑 왔었는데 분위기가 너무 좋아서 연인이랑 단둘이 와서 데이트하기도 좋고 다음에는 부모님도 모시고 오고 싶네요 ㅎㅎ	1
음식도 짜지 않고 스테이크 굽기도 요청하면 맞게 해서 주시더라구요! 오랜만에 압구정에서 즐거운 하루 보냈습니다 다음에 또 올게요~	1
분위기도 좋고 맛도 좋고 너무 완벽 했던 로로 레스토랑!!!앞으로 자주 자주 가려구요 맛집 인정입니다 ~~	1
너무 예쁜레스토랑입니다. 음식도 완전 맛있어요. ^^	1
갈비크림리조또 진짜 맛있어요! 추천!	1 
매장이 크지는 않아서 테이블 간의 거리가 조금 가까운 것이 약간 아쉬워요ㅎㅎ	0
일단 압구정에 이렇게 친절한 식당이 있을까 싶을 정도로 여자 사장님이 엄청 싹싹 하시고 친절하시더라구요 예전에 다른 가게가 있었을 때 왔던 단골로 써 앞으로는 로로 단골이 되지 않을까 싶습니다	1
연말을 맞이하여 예배 드리기 전에 신랑이랑 맛있게 먹으려고 왔는데요 둘다 정말 맛있게 먹고 갑니다 먹물 유적도 약간 새우깡 맛이 나면서 정말 중독성 있을게 맛있더라고요 저녁 늦게 하지 않고 정말 맛있었어요 양도 적지 않았고요	1
갈릭크림파스타 느끼할 줄 알았는데 갈비 두 조각에 파스타 한 끼 먹는데 정말 맛있었어요 일단 기본적으로 음식을 잘하는 집 있는 거 같아서 저희는 또 방문 하려고요 사장님 친절한 응대도 감사합니다	1
친구생일날 방문 했는데 너무 맛있게 먹고 분위기도 너무 좋아서 가족들이랑 다시 왔어요~스테이크가 너무 맛있더라구요사장님이 기억하시고 되게 친절하셔서 좋았습니다덕분에 좋은 시간 보내고가요!	1
간만에 신사동 나간김에 로데오거리 가서 맛있는 봉골레 까르보나라 먹고왔네요. 새우가 통통하니 너무 맛있네요. 느끼로 해장하는데 어제먹은 술이 다깨는 느낌이네요. 인테리어도 예쁘고 데이트하기 좋은곳이네요~^^	1
인테리어가 엄청 멋져요 박물관에 온느낌 오징어 먹물리조또, 크림파스타 모두 기대이상이였습니다!	1
생각보다 넓지는 않았으나 내부 인테리어 멋있습니다.음식도 너무 맛있고, 솔직히 둘이서 가면 부담될 가격일 수 있는데 3명 이상에겐 아주 적절했고요.특히 주말 알바분이 너무 친절하였습니다.(칭찬 많이 해주셔도 될 듯합니다)	1
고기는 야들야들 부드럽고 엄청 얇지만은 않아서 식감도 좋았습니다.의외로 제일 마음에 들었던 건 오징어먹물리조또입니다. 이거 강추입니다.쫄깃하고 짭쪼롬한게 아주 일품^^!전체적으로 음식 맛있고 직원분들 친절하고. 또 가고 싶습니다!	1
기버터 스테이크를 시켰었는데 구워지지 않은 스테이크를 테이블로 직접 가지고 오셔서 버터기름으로 앞에서 뿌려서 구워주시는데 너무너무 신박하고 신기했고 맛까지 최고였습니다!!!❤️인테리어도 중세 공주풍으로 되어 있는데 너무 아름다웠습니다❤️	1
